亲情主题,故事情节,创意,品牌,产品,画面,场景,色调,人物,音乐,时长,广告语
陪伴和家庭的温馨,无,无,无,无,无,无,无,无,无,无,无
无,无,无,无,无,模特好看,无,无,模特好看,无,无,广告简单明了
无,非常喜欢这个广告的叙事风格，很有故事性,无,无,无,无,无,无,无,无,无,无
无,无,无,无,无,生动,无,无,无,无,无,无
无,无,非常高端,无,无,无,无,无,无,无,无,无
无,无,轻松运动,维他奶,维他奶,无,轻松运动,无,无,无,无,口感好而又营养的维他奶
无,无,简单明了，很容易理解,无,无,无,无,无,无,无,无,有足够的吸引力
体现了家人的暖心支持,无,无,无,无,无,无,无,无,无,无,无
无,无,无,无,无,生活味很浓烈,无,无,无,无,无,让人产生共鸣
无,无,无,维他奶,维他奶饮料,无,无,无,无,无,无,好喝又健康的，天然的
家庭氛围强的，有爱的，温馨的,无,无,无,无,无,无,无,无,无,无,无
无,无,无,无,无,非常的高端,无,无,无,无,无,健康营养
广告中的女生坚持健身直播到深夜，妈妈其实也陪她到深夜，并为她准备了宵夜和维他奶,女生坚持健身直播到深夜，妈妈陪伴并准备宵夜和维他奶,女生的健身直播与妈妈的暗中支持结合的故事,维他奶,维他奶,无,女生健身直播到深夜的家中场景,无,广告主角为女生和她的妈妈,无,无,无
温情,无,无,无,无,无,无,无,无,无,无,无
无,无,演员配合肢体演绎,维他奶,无,靓丽,无,无,演员,无,无,无
无,无,展示的一种生活方式积极向上,无,无,无,无,无,无,无,无,无
关爱家人,无,无,无,无,无,无,温馨,无,无,无,无
温馨感,无,好,无,无,无,无,无,无,无,无,无
无,无,无,无,维他奶图片,维他奶图片,无,无,无,无,无,比较喜欢
无,无,娱乐性,维他奶,维他奶,无,无,无,无,无,无,无
无,无,无,无,无,无,广告的场景设计和我的生活非常相似,无,无,无,无,无
无,无,无,无,无,无,无,无,无,我非常喜欢这个广告的背景音乐，可以让我的心情变得非常的好,无,无
维他奶给你家人般的呵护,从现代年轻人的生活状态来描述,无,维他奶,无,无,现代年轻人的生活状态,无,现代年轻人,无,无,维他奶给你家人般的呵护
无,无,无,无,无,温暖的能量,无,无,无,无,无,无
无,有故事情节，不是单纯的广告,无,无,无,无,无,无,无,无,无,台词温暖人心
无,无,适合晚睡的人群,无,非常不错,无,无,无,无,无,无,无
很有爱,给了你一个完整 的故事,无,无,介绍产品,无,无,无,无,无,无,无
无,无,无,无,无,温馨,无,无,无,无,无,无
妈妈理解女儿做直播的辛苦,妈妈为做直播的女儿准备维他奶,无,维他奶,无,无,无,无,妈妈和女儿,无,无,无
告诉你维他奶能够给你家人般的呵护,通过当代年轻人的工作生活状态来切入该广告,无,维他奶,能量补充营养,无,无,无,无,无,无,无
无,故事情节,无,无,产品包装,无,无,背景色彩,无,无,无,无
真实亲切，比较贴近生活,无,无,无,无,无,无,无,无,无,无,喜欢
妈妈无微不至的爱,无,无,无,无,无,无,无,妈妈,无,无,无
人情味,无,无,无,无,无,无,无,无,无,无,无
无,无,有温度的事情,无,无,无,无,无,无,无,无,无
母亲体谅女儿的场景，女儿也体会到了。,无,无,无,无,无,母亲体谅女儿,无,母亲、女儿,无,无,无
母女情深,比较感动人,无,无,无,无,无,无,母女,无,无,无
无,无,广告语设计的很不错,无,无,无,无,无,无,无,无,很有爱
无,无,无,无,直接说明产品的优势和特点,无,无,无,无,无,无,无
无,无,无,无,无,有生活气息,是自己平时常见的生活场景,无,无,无,无,无
无,无,感觉是奋进向上,无,无,无,无,无,无,无,无,很开心
无,无,内容很有趣,无,无,无,无,无,无,无,无,很进取奋斗的
无,无,无,维他奶,维他奶,无,无,无,无,无,无,无
无,无,表达关爱,无,无,无,无,无,无,无,无,紧跟社会潮流
温馨的家庭,努力拼搏的女儿,无,无,无,无,无,无,女儿,无,无,无
无,广告情节吸引我的,无,无,无,温馨的,无,无,无,无,无,无
无,无,无,无,无,演绎的很精彩,无,无,无,无,无,把特点都展示了出来
温情，励志,无,头号粉丝的概念,无,无,无,无,无,无,无,无,无
无,无,无,维他奶,无,无,无,无,女主,无,无,让我看到我就想喝
无,无,无,无,无,无,无,无,无,无,无,为你为我，这个广告词不错
无,无,无,无,无,广告画面,无,无,先传代言人,无,无,无
温馨的家庭环境,无,无,无,无,无,家庭环境,无,女主,无,无,无
无,无,无,无,无,无,无,无,女主播,无,无,广告语好记
无,无,无,无,无,无,无,无,无,无,无,就是很能理解的，通俗易懂
无,无,无,无,无,无,家庭的情景温暖,无,无,舒缓,无,无
无,无,无,无,无,女生长得不错,无,无,女生,无,无,奶应该很好喝的样子
母女之间的互动令人暖心,家庭永远可以引起共鸣,无,无,无,无,无,无,母女,无,无,无
无,无,无,维他奶,奶,无,无,无,无,无,无,喝好奶，喝出健康身体！每天喝维他奶
无,无,是非常接地气的，让人感觉喜爱的,无,无,无,无,无,无,无,无,无
无,无,广告展现比较自然,无,无,无,无,无,无,无,无,给人营养更健康的感觉
无,无,很平常的广告没有什么特殊,无,无,无,无,无,无,无,无,无
充满了家庭温馨的气息，让人感觉很温暖,无,无,无,无,无,无,无,无,无,无,无
无,无,无,无,无,无,场景与改品牌的搭配很温和,无,无,无,无,无
健康和家人的关心,无,运动健身与网络直播结合,无,无,无,无,无,无,无,无,能量的补充，很温暖
无,无,年轻有活力，包装也精美,无,无,无,无,无,无,无,无,无
无,无,维他奶与运动场景相结合,维他奶,无,无,运动场景,无,无,无,无,无
无,无,很喜欢这个广告的创意,无,无,无,无,无,无,无,无,无
无,反应了当代年轻人目前的生活状态,有娱乐性,无,无,无,无,无,无,无,无,无
无,无,无,维他奶,无,女孩的样貌,无,维他奶的颜色,女孩,无,无,无
无,广告的故事讲述的简单而温暖,无,无,无,无,无,无,无,无,无,无
无,无,无,无,无,女孩的活泼力量,无,无,女孩,无,无,有活力
无,无,无,无,无,无,无,无,无,无,无,无
无,无,无,无,无,无,这个场景搭配,无,无,无,无,无
家人为女孩送上维他奶,一天工作忙碌后,无,维他奶,维他奶,无,家中,无,家人、女孩,无,无,无
无,无,无,维他奶,无,无,无,无,无,无,无,为我，为他，都要健康，维他奶。
无,无,无,无,无,无,与该品牌搭配，让人看起来舒适,无,无,无,无,无
母亲看女儿工作到很晚,母亲给工作到很晚的女儿维他奶,将产品与母亲对女儿的关心结合,维他奶,维他奶,无,女儿工作到很晚,无,母亲和女儿,无,无,维他奶，是最大的鼓励
无,无,无,无,产品亮点突出,无,场景温和,无,无,无,无,无
无,无,无,该品牌,无,无,无,无,人物对话鲜明,无,无,无
无,无,无,无,无,无,无,无,无,无,无,传递给人积极向上的正能量思想
无,无,无,无,无,无,无,无,无,无,无,广告词比较吸引我
无,无,无,无,无,无,非常搭配,无,无,与场景非常搭配,无,无
无,无,无,无,晚餐熬夜可以喝的方便快捷产品,无,无,无,无,无,无,无
拼命的女儿，关心女儿的妈妈,无,无,无,无,无,无,无,女儿、妈妈,无,无,无
无,无,无,无,突出产品,自然,无,无,无,无,无,喜欢这个广告
家人的关心,无,无,维他奶,补充营养,无,无,无,家人,无,无,家人关心比较和谐
比较温馨父母的爱无私的,无,无,无,无,无,无,无,无,无,无,无
无,这个广告告诉打工者补充原力需要补充奶制品,无,无,奶制品,无,无,无,打工者,无,无,无
工作后家人送维他奶,无,无,维他奶,维他奶,无,很温暖,无,家人,无,无,无
母亲对女儿的爱关心呵护,无,无,无,无,无,无,无,母亲和女儿,无,无,无
无,无,无,无,无,无,无,无,无,无,无,看上去挺好的，健康每一天
无,无,无,维他奶,无,无,无,无,视频中的女孩,无,无,无
家人送上维他奶,无,无,维他奶,维他奶,工作完之后家人送上维他奶很温暖的画面,家中,温暖,家人,无,无,无
无,无,传达信息清晰,无,奶,无,无,无,无,无,无,给人一看就明白
无,无,很有创意 很有新鲜感,无,无,无,无,无,无,无,无,无
无,无,无,无,喜欢他的味道,无,无,无,无,无,无,外观特别好看
无,无,好，让人有温馨感觉,维他奶,无,无,无,无,无,无,无,无
无,无,无,无,它能够给我们带来健康,无,无,无,无,无,无,无
温馨的亲情,无,接地气,无,无,无,无,无,无,无,无,无
无,无,无,无,无,这个画面,无,无,无,无,无,这个广告都很不错
无,无,无,无,无,无,无,无,女主角很健康，喜欢女新角色,无,无,无
无,无,贴近生活,无,无,无,无,无,无,无,无,让人看了觉得暖心
无,无,无,无,好的产品,无,无,无,广告中的主角,无,无,无
很温馨,无,无,无,无,很真实,可信,无,无,无,无,无
无,温暖的剧情,无,无,无,无,无,无,无,无,无,无
无,无,独特的构思创意，使人流连忘返,无,无,无,无,无,无,无,无,过目不忘
无,无,无,维他奶,营养丰富对身体健康有很大的帮助,无,无,无,无,无,无,无
无,无,无,无,无,无,无,无,广告中主人公很正能量 有积极进取的精神,无,无,无
感人,无,无,无,无,生动,无,无,无,无,无,无
无,无,无,无,广告宣传的产品很有代表性,无,无,无,无,无,无,无
无,无,广告的创新比较之前我所看到的都比较好,无,无,无,无,无,无,无,无,无
无,无,无,无,无,无,温馨和甜蜜,无,无,无,无,无
家庭生活,无,通过家庭生活传递出健康活力,维他奶,无,无,家庭,无,无,无,无,无
长辈对小辈的关爱,无,无,无,无,温馨有家的氛围,无,无,长辈、小辈,无,无,无
无,情节设计,无,无,产品外观,无,无,无,主角,无,无,无
体现了家庭的爱,无,无,维他奶,维他奶,无,家庭,无,无,无,无,和维他奶可以变的健康
无,无,无,无,产品的各种各样,色彩的鲜艳丰富,无,色彩的鲜艳丰富,无,无,无,口味非常的丰富
无,无,无,符合这个品牌的主体,无,无,无,无,无,无,长度刚刚好,表达的很清晰
无,无,无,维他奶,维他奶,无,运动完,无,无,无,无,来一瓶维他奶补充水分
无,无,无,无,无,简洁清新的,无,无,无,无,无,言简意赅的
无,无,无,无,无,无,无,无,无,无,无,广告传递的理念十分亲切
无,无,无,品牌突出,无,画面温馨，人文主义,无,无,无,无,无,无
无,无,无,无,无,无,无,无,无,无,无,运动是生命的根本，要坚持
无,无,无,维他奶,无,无,无,无,无,无,无,我喜欢维他奶的宣传语
在她的妈妈给她准备豆奶的时候，感觉很温馨,妈妈给她准备豆奶,无,无,豆奶,无,妈妈准备豆奶,无,她和她的妈妈,无,无,无
无,无,无,维他奶,豆奶,无,补充人体所需营养,无,无,无,无,无
家庭的温馨体现，亲子间的温情互动,无,无,无,无,无,无,无,无,无,无,无
无,无,无,维他奶,无,无,无,无,无,无,无,我为你维他奶
无,无,贴近生活,无,无,无,无,无,颜值高,无,无,无
无,无,无,无,无,无,无,无,无,无,无,比较喜欢运动，感觉跟我有关系
无,无,无,无,好喝让人充满希望,无,无,无,无,无,无,专业的品质，好喝让人充满希望
家的温馨，不惯你多么累，家永远是港湾,无,无,无,无,无,无,无,无,无,无,无
无,无,无,无,无,无,无,广告里面的灯光很有氛围感,无,无,无,无
妈妈的爱,无,无,无,营养,无,无,无,妈妈,无,无,充满爱的营养
突出母爱的伟大和亲情的温暖,无,题材新颖，符合当前流行职业,无,本产品的适用场景,无,适用场景,无,无,无,时机符合,无
无,无,无,维他奶,植物奶,无,无,无,无,无,无,无
无,无,无,维他奶,无,无,无,无,无,无,无,无
无,无,无,无,健康有营养的，采用优质原材料，技术先进的,无,无,无,无,无,无,无
无,无,无,口碑好的品牌,无,无,无,无,无,无,无,值得新来
无,无,无,无,无,无,无,无,无,无,无,体贴温暖 营养全面 口感好喝
无,无,无,维他奶,维他奶,无,无,无,无,无,无,口味浓郁，营养健康
年轻人的努力和父母的关心,无,无,无,无,无,无,无,年轻人、父母,无,无,无
妈妈对女儿的爱,妈妈用产品表达对女儿的爱意,无,无,无,无,无,无,妈妈和女儿,无,无,无
