亲情主题,故事情节,创意,品牌,产品,画面,场景,色调,人物,音乐,时长,广告语
陪伴和家庭的温馨,无,无,无,无,无,无,无,无,无,无,无
无,无,无,无,无,模特好看,无,无,模特好看,无,无,广告简单明了
无,非常喜欢这个广告的叙事风格，很有故事性,无,无,无,无,无,无,无,无,无,无
无,无,无,无,无,非常生动,无,无,无,无,无,无
无,无,无,无,无,无,无,无,无,无,无,无
无,无,无,维他奶,无,轻松运动,后补充口感,无,无,无,无,口感好而又营养的维他奶
无,无,简单明了，很容易理解,无,无,无,无,无,无,无,无,有足够的吸引力
体现了家人的暖心支持,无,无,无,无,无,无,无,无,无,无,无
无,无,生活味很浓烈,无,无,无,无,无,无,无,无,让人产生共鸣
无,无,无,维他奶,好喝又健康,无,无,无,无,无,无,天然的
家庭氛围强的，有爱的，温馨的,无,无,无,无,无,无,无,无,无,无,无
无,无,无,无,高端，健康营养,无,无,无,无,无,无,无
妈妈其实也陪女生到深夜，并为她准备了宵夜和维他奶,女生坚持健身直播到深夜，妈妈默默支持,无,维他奶,维他奶,无,女生健身直播，妈妈准备宵夜,无,女生，妈妈,无,无,无
温情,无,无,无,无,无,广告,无,无,无,无,无
无,无,无,维他奶,无,靓丽,无,无,广告里的演员,无,无,无
无,无,无,无,无,生活方式积极向上,无,无,无,无,无,无
关爱家人,无,无,无,无,无,无,温馨,无,无,无,无
温馨感,无,很好,无,无,无,无,无,无,无,无,无
无,无,无,维他奶,维他奶,维他奶图片,无,无,无,无,无,广告语比较喜欢
无,带点娱乐性,无,维他奶,无,无,无,无,无,无,无,无
无,无,无,无,无,无,广告的场景设计和我的生活非常相似,无,无,无,无,无
无,无,无,无,无,无,无,无,无,我非常喜欢这个广告的背景音乐，可以让我的心情变得非常的好,无,无
维他奶给你家人般的呵护,无,从现代年轻人的生活状态出发,维他奶,无,无,现代年轻人的生活状态,无,无,无,无,维他奶给你家人般的呵护
温暖的能量,无,无,无,无,无,无,无,无,无,无,无
无,有故事情节，不是单纯的广告,无,无,无,无,无,无,无,无,无,台词温暖人心
无,无,适合晚睡的人群,无,非常不错,无,无,无,无,无,无,无
很有爱,给了你一个完整的故事,不单单介绍产品,无,无,无,无,无,无,无,无,无
无,无,无,无,无,非常温馨,无,无,无,无,无,无
妈妈理解女儿做直播的辛苦,妈妈为直播中的女儿准备维他奶,无,维他奶,维他奶,无,女儿做直播,无,妈妈和女儿,无,无,无
维他奶能够给你家人般的呵护,通过当代年轻人的工作生活状态来切入该广告,无,维他奶,无,无,当代年轻人的工作生活状态,无,当代年轻人,无,无,无
无,无,无,无,产品包装,无,无,背景色彩,无,无,无,无
无,无,无,无,无,真实亲切,贴近生活,无,无,无,无,喜欢
妈妈无微不至的爱,无,无,无,无,无,无,无,妈妈,无,无,无
人情味,无,无,无,无,无,无,无,无,无,无,无
无,无,世界上有温度的事情还是很多,无,无,无,无,无,无,无,无,无
母亲体谅女儿，女儿体会到母亲的体谅,无,无,无,无,无,母亲体谅女儿的场景,无,母亲、女儿,无,无,无
母女情深,无,特别,无,无,无,无,无,无,无,无,比较感动人
无,无,无,无,无,无,无,无,无,无,无,设计的很不错，很有爱
无,无,无,无,直接说明产品的优势和特点,无,无,无,无,无,无,无
无,无,无,无,无,有生活气息,自己平时常见的生活场景,无,无,无,无,无
无,无,无,无,无,无,无,无,无,无,无,奋进向上的很开心
无,无,很有趣很进取奋斗的,无,无,无,无,无,无,无,无,无
无,无,无,维他奶,无,无,无,无,无,无,无,无
喜欢表达关爱的方式,无,紧跟社会潮流,无,无,无,无,无,无,无,无,无
温馨的家庭,努力拼搏的女儿,无,无,无,无,无,无,无,无,无,无
无,广告情节吸引我的，温馨的,无,无,无,无,无,无,无,无,无,无
无,无,无,无,无,无,无,无,无,无,无,无
温情,励志,头号粉丝的概念,无,无,无,无,无,无,无,无,无
无,无,无,维他奶,无,无,无,无,女主,无,无,让我看到我就想喝
